"","X","DistCode","DistName","SchCode","Year","Takeover","SchName","SchType","Neighborhood","Charter","GroupType","GroupName","TestSubject","Level_1_Count","Level_2_Count","Level_3_Count","Level_4_Count","Total_Count","Level_1_Percentage","Level_2_Percentage","Level_3_Percentage","Level_4_Percentage"
"1",1,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","All Students","All","ELA",28,82,24,0,134,20.8955223880597,61.1940298507463,17.910447761194,0
"2",2,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","foster","No","ELA",28,82,24,0,134,20.8955223880597,61.1940298507463,17.910447761194,0
"3",3,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","Grade","3","ELA",3,25,12,0,40,7.5,62.5,30,0
"4",4,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","Grade","4","ELA",12,30,5,0,47,25.531914893617,63.8297872340426,10.6382978723404,0
"5",5,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","Grade","5","ELA",13,27,7,0,47,27.6595744680851,57.4468085106383,14.8936170212766,0
"6",6,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","homeless","No","ELA",28,82,24,0,134,20.8955223880597,61.1940298507463,17.910447761194,0
"7",7,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","iepdata","NOT SWD","ELA",17,80,24,0,121,14.0495867768595,66.1157024793388,19.8347107438017,0
"8",8,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","iepdata","SWD","ELA",11,2,0,0,13,84.6153846153846,15.3846153846154,0,0
"9",9,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","lep","ELL","ELA",20,36,6,0,62,32.258064516129,58.0645161290323,9.67741935483871,0
"10",10,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","lep","Not ELL","ELA",8,46,18,0,72,11.1111111111111,63.8888888888889,25,0
"11",11,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","lunchdata","No","ELA",3,6,3,0,12,25,50,25,0
"12",12,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","lunchdata","Yes","ELA",25,76,21,0,122,20.4918032786885,62.2950819672131,17.2131147540984,0
"13",13,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","migrant","No","ELA",28,82,24,0,134,20.8955223880597,61.1940298507463,17.910447761194,0
"14",14,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","military","No","ELA",28,82,24,0,134,20.8955223880597,61.1940298507463,17.910447761194,0
"15",15,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","Race7","AM7","ELA",0,0,0,0,0,0,0,0,0
